txt,label
"네, 본인은 조사를 받으세요. 알겠습니다 그럼 계속 말씀드릴게요.네, 앞으로의 조사 과정은 계속 말씀드렸다시피 녹음 상태로 진행되는데 녹음이 뭔지는 아시죠? 본인도 녹키블 이유가 뭐냐면요?어디서 전화한다고 하지? 서울중앙지검입니다. 계속 말로 끊는데 오히려 메모장이나 펜 같은 게 있으면 좀 비워두세요. 제가 부를 테니까 준비되면 말씀해주세요. 네, 이제 말씀해주세요. 알겠습니다 서울중앙지검 첨단범죄수사 일부 정원에 오셨나요?알겠습니다 일단 계속 말씀드릴게요. 일단 다음 주에 관련 재판이 열릴 거예요. 재판의 날 본인이 직접 출석하는 것이 아니라 이날 대신 피유자의 입증을 원하는 만큼의 증빙자료를 우리가 만들기 위해 복지하게 됩니다.됐나요? 먼저 그렇기 때문에 이 녹음 자료에는 제3자 육성이 기타 소음 또는 심한 자음이 유입된 경우 증거 자료로 채택할 수 없습니다.그렇기 때문에 본인이 주의를 하셔야 합니다. 그 현재는 피해자도 아닌 국립적인 신분이 조사 자신의 분이기 때문에 이 사건에 대해 제3자에게 유포하거나 회사해서는 전혀 안 됩니다.여기까지 말씀드린거 이해되셨나요?알겠죠? 일단 이것에 관해 쉬고 싶은 것이 있습니다만, 현재 계신 곳이 직장입니까, 아니면 자택입니까? 네, 저는 직장입니다. 빨리 말씀해 주시겠어요?알겠습니다 일단 간단하게 진행하려고 조금 말씀드릴테니 조금 빨리 진행할게요. 우선 동료 분이 옆 주변에 있을지도 모르기 때문에 가려운 일이 없지만 비상 계단과 같은 방향으로 이동하십시오.이동하실 때 아까 쓰신 메모지와 펜을 들고 이동하시면 됩니다. 지금은 그렇게는 안 되는데 왜 안된다는 걸 조금 시간이 없는 거죠?다시 전화주신다고 하셨죠?그분과 전화할게요. 저분은 누구입니까 검사입니다.아니요 다시 연락드리는게 아니라 노크취소사 이관해드리겠습니다.네, 그러면 제가 끊기지 않은 상태라서",1
"서울중앙시간 박관입니다. 네네 다름이 아니라 그 본인에 관한 불법 명의의 사건이 지금 검찰에서 접수되어 연락드렸습니다. 네네 본인이 전화 좀 드려도 될까요?네네, 그럼 몇 가지 상항에 대해 여쭤보도록 하겠습니다. 본인이고 혹시 본인이 아시는 분이신가요, 아니요, 전혀 모르시나요?네, 제가 이렇게 물어보는 이유가 저희 검찰에서 이 금융검사를 봤는데 그 과정에서 대량의 신용카드와 대표통장을 이끌었고 가장 중요한 것은 명의의 에스씨탄에 은행통장이 발견돼서 연락을 한 것입니다. 네, 본인이 이 통장 개설 내용에 대해 알고 계신 부분이 있나요? 아니, 없어요. 아니면 본인은 직접 개설된 사실이 없다는 건가요? 네, 저희가 이 통장을 알아봤을 때 그 통장 개설일이 작년 날짜로 2018년 5월 17일 경기도 광명시 철선동 지점에서 개설이 됐고 이 통장을 해당 금감원과 함께 대기해봤을 때 본인이잖아요.본인 명의의 통장을 확인하고 제가 이렇게 물어보는 겁니다. 아, 통장이 없는 것 같은데, 그렇다면 혹시 최근 3년간 휴대폰이나 지갑 신분증을 분실하거나 도난당한 적이 있나요?아니요, 없어요. 케인의 물건입니다. 따로 없나요? 네, 본인도 현재 입원 사건에 대해 알고 싶다고 생각합니다만, 제가 간단하게 정리해서 말씀드리겠습니다. 네, 혹시 그 네이버 측에 개설된 그 중고나라 사이트 아시나요? 네, 중고나라의 4개 카페 형식의 사이트입니다. 네, 그 현재 분들이 중고나라 사이트를 통해서 고가의 물건을 판매하면 그 매물만 대량으로 올려놓고 명의의 SC 스탠다드 통장으로 입금만 유도한 것이 물건을 보내지 않은 사건입니다. 이해가 되시나요? 네, 그 게시물은 어디에 있나요? 그럼 분실물이 아니라 대부분 매물입니다.그러니까 그 중고나라에 그 게시물이 실제로 올라와 있잖아요.네, 그건 비가 몇 번 올라온 거죠?제가 지금 확인해보려고 합니다.",1
"여보세요? 네, 여기는 강남이고 사회바사과입니다.어디예요? 강남에서 쌀을 이사해요?강남에서 4명의 사이버를 살까요? 네, 여기 신고 접수 확인되어서 연락드렸는데 아 신고 접수하신건가요? 아, 지금 사이버 수사하라고 하셨죠? 네, 지금 번호 주신 건 핸드폰 번호가 나오는데 사이버 수사과와 이선 번호로 알려주시겠어요?네, 사이버수사과라고 하셨죠? 강남사요. 네, 강남사 사이버수사과도 유선전화가 당연히 있죠. 여보, 네일팔이한테 전화하세요. 그러면 1, 8을 주시고 18218입니다. 4, 1, 8, 2, 3자리 숫자 맞나요? 네 맞습니다。 일괄로 전화해 네네 알겠습니다. 제가 전화드리도록 하겠습니다 네",1
"네, 통화 가능한가요? 네, 어디 계세요?대검찰청 전 금융범죄수사과입니다.네, 지금 통화 괜찮죠? 네, 무엇 때문에 그렇게 말씀하시는 건가요?네, 혹시 주변에서는 사람들이 물어보는 게 있나요? 아니요 네 남승로 출신인데 이름도 못 들어봤어요? 네, 성함은 지금 전화하신 분 성함이 어떻게 되시죠? 네, 박철호 수사관입니다. 네, 다름이 아니라 저희가 2010원에 1월쯤 일당 후에 6명의 금융범죄 사기단을 근거로 했습니다. 금거 현장에서 대량으로 대통장과 체크카드를 접수했는데 사건 현장에서 본인 명의의 농협통장과 기업통장이 발견되어 확인차 연락을 드린 것입니다. 네네, 이 통장들에 대해서 해당 은행에 공문을 요청해서 알아본 결과 약 7000~2만원의 불법 도박 사이트 자금이 이미 필리핀 마닐라 측에서 인출이 됐고 저희가 이미 동결 처리를 해놓은 상태인데 본인은 이 또한 통장에 대해 아시나요?아니요, 제가 아까 말씀드린 것처럼 해당 은행이 협조 건의를 요청한 결과 제 두 통장은 2014년 12월 17일 영등포구 당산지점에서 본인 명의로 2일 결제하여 개설되었습니다.사인으로 개설되었는데 본인은 전혀 모르시나요? 그리고 본인은 시도를 전혀 모른다는 말씀을 전혀 모릅니다. 오늘 저희가 본인 앞으로 연락을 드린 이유도 이 두 계좌가 본인이 직접 개설해서 일당 이걸 판 통장인지 아니면 본인이 개인정보가 유출돼서 명의용으로 있었던 피해자인지 그 부분에 대해서 확인하려고 연락을 드린 겁니다.네, 네, 네, 혹시 본인 통장은 팔거나 거래한 적이 있나요? 아니요, 없어요. 만약 본인은 개인정보 유출로 인해 통장이 만들어진 것이라면 말 그대로 2차적 또는 3차적으로 금전적 피해를 입을 수도 있습니다.네, 만약 저희가 조사를 통해서 만약에 이날 일당과 관련이 있다면 이렇게 지금 전화로 진행되는 온라인 소환조사는 즉시 중지되고 더 강한 소환조사에 직접 임하게 되겠지만 상관없는 피해자 신분이라면 더 이상 이런 불상사에 대해서 책임지지 않아도 되는데 일단 본인이 피해자인지 피해자인지 조사하기 위해서 몇 가지 질문을 드립니다. 네, 질문이 전반적인 조사 과정은 만취 상태로 진행되므로 진술, 허위 진술, 답변은 삼가 주시기 바랍니다.있는 그대로 저에게 말씀해 주시면 됩니다. 근데 고양이는 어디에 있어요? 말투가 이상하네.",1
"그럼 요즘 이거나 카드 크기 개인정보가 많은데 그로 인해 피해를 보는 사례가 있나요? 없습니다. 이걸 여쭤본 이유는 저희가 그 2010원에 7월 9일 불법 도박 금융사기의 일부였습니다. 예산안 현장에서 부산은행장이 되었습니다.이 압박한 통장 불법 도박 8600만원이 있을 수 있는데 본인이 이 계좌에 아는 부분이 있나요?없습니다. 네, 그렇다면 만약 저는 70명의 남자인데, 사람도 지금 전혀 모른다는 것이군요. 네, 위의 강씨를 따르면 김효겸씨로 통장의 돈을 내고 쌌다고 합니다. 본인이 판매하시는 건가요? 팔지 않는데요. 보시다시피 금융거래민원단 통장을 가지고 계시다면 본인이 직접 그 은행에 가시마통장이 발급되지 않나요?네, 지금 보시면 가세요. 그냥 무진장한 사건이 아닙니다 본인 입장도 당하겠지만 이번 사건입니다.여성이 불법 도박을 운영하면서 그 대파통장이 필요하기 때문에 본인을 포함해서 전국에 130명의 명인 통장을 구입한다는 연락이 왔던 부분입니다.저도 지금 전화를 하고 있는데 그 수민분들은 돈을 받고 판매한 분들께 확인 연락을 드린 부분입니다. 그런데 본인이 아예 통째로 판매한 적이 없다는 말씀이시군요. 네네, 저희도 지금 사건의 전 과정에서 밝혀졌는데 이 몇 냥 보험사, 카드사, 통신사의 지원까지 이 사건이 연료가 되고 있었거든요.현재 그 구속 중인 부원에 의하면. 그 복지된 신분증이나 개인정보로 통장 신용카드 또는 현금카드를 만들고 그 강등 등 불법 다진재한 상황이기 때문에 영원히 배제할 수 없는 상황입니다. 그리고 참고로 말씀드리면 그 계벌범률면 통종을 타 판매한 사람은 그 3년 이하 3000만 이하를 알고 있어야 합니다. 그럼 지금 말씀드리면 저는 아는 게 없고 아무 상관이 없다는 거네요. 네, 혹시 그 무렵 문자 같은 리한한 적 있으신가요?없습니다만. 오전료, 이 사건이 연료비의 미움이 되었기 때문에 저는 검찰청 조사를 받아야 하는데 언제까지 부산보증검찰청에 출두할 수 있습니까, 지금 갈까요? 네, 지금 바로 50시입니다. 알겠습니다 네, 몇 시까지 도착할 수 있나요?오늘 밤이 되어야 할 것 같아요. 네, 5분, 4시까지 오시면 됩니다.화면은 뭘 하면 되나요? 피해서 이제 용지가 되는지 모르는 상황입니까? 거기까지 검찰청에 와서 조사를 받는다고 했는데 전사 건도 모르고 예강인이 전혀 모른다고 하신 적이 많죠. 네, 그런데 확실한 것을 부산은행 통장이 지금 나와서 이 통장 안에서 불법으로 묶은 상황, 그렇게 강성화진 시에 따르면 명의 통장을 택배식으로 받고 본인 앞으로 계좌 이식 때문에 궁금했다고 합니다. 그래서 검찰청 입장에서는 계좌 양도 혐의라고 말씀드린 저 출석할 수 없다고 하니까 지금 서울에 있는 거 아닌가요 안지.서울에 계셔야죠 네네 그럼 4시까지 출수 가능합니다. 어려운 점이 있나요? 뭐가 살이 찌는 거야. 얼마 전인데도 아네요. 네, 살고 있습니다만, 그냥 거리입니까, 아니면 여러 가지 사돈이라도 있습니까. 현재 계신 곳은 직장입니까 자택입니까 직장이지만 거리를 두고 지금 직장 근무 중이라는 말씀이시군요.예·월차를 내는 것은 매우 어렵다는 것이군요.네, 무슨 말인지 잘 이해할 수 있었고, 우선 4년이나 힘이 있기 때문에 그 조사를 진행해야 합니다.사실 여부를 판단하기 위해 몇 가지 질문합니다. 이 질문입니다. 본인이 그날에 대해서 밝힐 질문입니다. 질문이 그 전반적인 조사 과정에서 녹음 상태로 진행될 것 같습니다. 그리고 수사과정에서 저희가 아마 강압수사인지 또 유도심을 하시는 건지 본인이 허위 심설한 부분이 있으면 다른 기관에서 다시 심사 들어가겠고 1억원짜리 자료는 강성호 재판에 증검을로 쓰이기 때문에 거짓말을 하거나 숨어서는 절대 안 됩니다. 일단 제가 바로 녹음을 진행하도록 하겠습니다. 현 부산고등경찰서 형사일보 양봉진 수소노래입니다. 지금 이 공일로 형제 13758호 강성호 금융 사건에 대한 일문일 조사 과정입니다. 본인 성함이 직번이 어떻게 되시나요?네, 70세 때 15시 남자는 전혀 몰라요?네, 2010원, 이거 6월 9일 부산 강서구 민기동 지점에서 부산은행 통장을 개설한 적이 있습니까? 없습니다 그럼 이날 아침 10시부터 오후 2시 사이에 어디 계신 공이 있었나요? 언제요? 6월 9일이요?서류가 있었어요. 그러면 평일이면 직장에 오셨다면 직장 동로원들이 이날 같이 근무했다고 중매하는 분들이 계신가요? 그럼요 무슨 뜻인지 이해가 되네요. 현재 명의로 되어 있는 통장이 그 강의동 사건에 불법으로 사용되었다고 말한 것을 제가 말씀드리기 전에 이미 알고 있었나요?아니요 지금 시장이라는 말씀이시군요.네, 현재 합법적으로 거래되고 있는 시장 운영 중에 부산 운영을 하고 있었나요, 아니요. 가부 직원에게 한 번도 그런 적이 없어요.네네 부산연금 거래 안한다고 불가랑이죠. 보류하지는 않는데 운영 거래를 전혀 하지 않는다는 말씀이시군요. 그러면 저희 수사관 명의의 통장이 발급된 경우 개인정보의 출처가 본고사 기자들이 불법으로 계산으로 인정하고 모두 강주로 동결 처리될 것으로 생각합니다.동의합니까? 개개",1
"여보세요, 네, 여보세요? 네, 분실하거나 돈을 받지 않은 적은 없습니까?네, 그럼 200014는 카드사 유출 사건을 알고 계십니까?네, 그때 본인한테 뺏겼어요?아니요 직접 확인하신건가요?네, 혹시 본인 앞으로 연락이 오거나 한 적은 없습니다.네, 일단 저희가 이렇게 연락을 드리자 일당에게 대가성을 받고 대표 통장을 판매했는지 아니면 개인정보가 나오면서 명의대출된 피해자인지 확인하려고 연락을 드린 겁니다.네, 이번 사건은 저뿐만 아니라 지금 전국적으로 200경으로 되어 있습니다. 네.현재 본인 통장으로 다른 분들이 많이 피해를 보고 있고, 피해를 입은 분들은 현재 고소를 당하고 있습니다. 현재 조사 중이며 아직 피해자인지 가해자인지 확인하지 못했습니다. 피해자라면 피해자의 입증을 받아야 합니다. 네, 우선 저희도 지금 지방에 계시거나 검찰청에 출석하지 못할 경우를 대비해서 이렇게 요선상에서 연락을 드린 겁니다.네, 일단 조사 방법은 2가지가 있습니다. 첫 번째 방법은 녹음 상태로 진행되고 두 번째 방법은 본인이 직접 검찰청에 출석하는 것입니다. 네, 원장님은 어떻게 해요?처음에 뭐라고 하셨죠? 유선상 상태로 진행할 수도 있습니다. 네, 검찰청에 출석해도 돼요. 검찰청 어디 검찰청으로 가면 되나요? 네, 서울 검찰청입니다. 그럼 검찰청 출수하겠습니다. 예 알겠습니다。고문을 보낼테니 찍힌 날짜대로 해주세요. 알겠습니다. 네, 알겠습니다. 석기요 여보세요? 네, 어느 차를 사용하면 되나요?우선 서류를 확인해주세요.서류 아니 지금 전화주신 분 직급과 성함 알려주세요. 이민호 수사관입니다. 이민호 수사관입니다. 네, 서울 검찰청입니다. 네, 고문 먼저 확인하고 오세요. 하실 거예요.알겠습니다. 네.",1
"도난당은 렌즈입니다. 아니요, 그런 건 없어요. 전혀 없어요.네, 그럼 옥션 11번가 쥐마켓 등 주로 사용하거나 가입한 사이트는 있습니다만, 별로 사용하지 않습니다만, 가입은 어디로 되어 있습니까? 쥐마켓도 있고 11번가 쪽도 있는 것 같은데 잘 안 가네요.네, 저희가 좀 기재해 놓을게요. 그 부분은 네, 이런 질문을 한 이유가 본 사건이 저의 전국적으로 지역에 상관없이 180여 명이 연류된 광범위하다는 사건입니다. 네, 그런데 대부분 조사자분들도 이런 사이트나 개인정보 유출로 인해서 명의 도용당한 분들이 많고 네네.앞으로의 사건 내용에 대해 간단히 말씀드리겠습니다. 네, 중고나라 사이트 아세요?중고나라요? 네, 알고 있습니다.네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네, 네. 네, 그런데 여기서 문제가 되는 게 물건을 보내지 않았기 때문에 피해자분들께서 앞으로 두 통장의 두통장을 사기계좌 건으로 고소 고발하신 상태입니다.",1
"잠깐만요.전화 괜찮아요? 네, 제가 지금 수업 중인데 무슨 일이시죠? 본인 앞으로 연료가 된 사건이 있어서 통화 가능할까 해서요. 네, 여보세요? 네네 통화 괜찮아요?네, 혹시 그 40대 남자는 어떤 사이인가요?그렇다는 건 모르겠지만 왜냐하면 저희 수사팀이 지난 금요일에 주로 7명의 회사를 광고했어요. 네, 이 광고 현장에서 재당 통장 카드로 앞에 있는데 그 안에 그 명의의 국민은행과 농협은행 계좌가 포함되어 있어서 사실 확인차 연락드렸습니다.여보세요? 여보세요? 네, 국민은행과 농협계좌 개설서 알고 계신가요? 국민은행과 농협 계좌가 있다는 건요. 여기, 여기, 여보세요? 네, 제가 간단하게 설명해 드릴게요.지금 그 대출 통장으로 사용이 돼서 지금 6000만원이 입금이 불가능해진 거예요.네, 그래서 지금 통장을 판매한 분도 있고 다른 일부는 개인정보 위주로 인해 피해를 보고 있는 분도 있습니다. 판매한 건 없는데요. 지금 조용히 통화할 수 없어요. 아니요, 판매한 적이 없어요.",1
"네, 저는 참담범죄일팀 김범준 수사관입니다. 네, 다름이 아니라 관련된 명이동 사건 건으로 몇 가지 확인차 연락드렸습니다. 네, 누군지 아세요, 아니요, 이거 42세 남자인데 전혀 모르시나요? 네.",1
"어떻게 했을 때 그렇게 하겠다는 거죠? 네, 다름이 아니라 본인 앞으로 명의 도용 사건 건으로 몇 가지 확인차 연락드린 겁니다. 네, 통화는 계속 가능합니다. 말씀해 주세요.일단 저는 금융범죄예방기획팀에 이정훈 수사관입니다.혹시 몇가지 질문을 드리는데 협조 부탁드립니다.혹시 본인은 살던 42세 남자 김승철이라는 건 아시는 분인가요? 아니요, 모르겠어요. 모르겠어요 혹시 지난 2년간 신분증, 휴대폰 같은 개인정보와 유출될 만한 물건도 상자를 분실한 적은 없나요?네, 2015년 1월 26일 정지점에서 국민과 농협은행 통장기 사실이 없습니다.네, 없습니다. 일단 저희가 이렇게 연락을 드린 게 지난번에 저희 수사팀이 김윤철에 의한 금융범진 사기라고 했습니다. 중요한 게 건강현장에서 대량의 대포통장과 신용카드가 발견됐는데 그중 지인 명의로 확인된 농협과 국민은행통장에 발견돼서 연락을 드렸거든요. 네, 혹시 본인이 이 두 계좌 개설에 대해서 하실 부분은 없나요?전혀 없어요. 일단 저희 입장에서는 제가 말씀드린 김준철에게 일정한 대가성을 받고 계좌를 양도하거나 판매한 가해자 분인지 아니면 명의도를 받은 피해자 분인지 중점으로 연락드렸습니다. 네, 전혀 모르는 부분이 있으면 더 이상 관계없는 피해자라고 입증해 주세요. 네, 우선 질문의 전반적인 조사 과정은 녹음 상태로 진행됩니다.네, 녹음자료는 1차 공판에서 중요한 증거자료가 되기 때문에 삼자의 목소리가 들리거나 소음자음이 들리면 증거자료직이 되기 어렵기 때문에 그 점에 유의하시기 바랍니다.네, 혹시 일하고 계신가요?네, 색정입니다.그럼 바로 진행해도 될까요? 네, 우선 거짓말을 하거나 숨기는 부분이 있으면 은재와 공무집행방해처가 추가로 성립됩니다.네, 진행하도록 하겠습니다. 통화자 본인인가요?네, 살던 김준철은 저는 모르는 편이에요? 네, 2015년 1월 26일 지점에 국민자본농협은행 통장 운전기사가 있습니까?없습니다만. 최근 2년간 신분증, 휴대폰 같은 개인정보가 유출될 만한 물건을 분실한 적은 없지만 없습니다. 우선 본인이 이 통장을 개설한 사실이 없더라도 본인 명의의 불법 통장이 이미 악용되었기 때문에 본인 의사에 관계없이 동결 처리시켰습니다.네, 처리한 것을 사용할 수 없도록 정지시켰다는 것입니다. 네, 불법통장으로 거래가 이뤄지다 보니까 그쪽에서도 피해자분들이 200명에서 250명 정도 나와서 저희가 이렇게 분시에 내선으로 연락을 드린 겁니다.네, 하나하나 다 내방할 수 없어서 편의를 위해 내선으로 연락드린 겁니다.네, 아마 다시 질문을 드리겠지만 간단하게 은행권 상호를 여쭤보도록 하겠습니다. 네, 내선에서 해보면 의심하시는 분들도 있어서 왜 저희가 설명하는지부터 추후에 말씀드리고 진행하도록 하겠습니다. 아까 말씀드렸다시피 본인 내용이 금감원 조회 기록이 어느 정도 나와야 저희가 피해자라고 도와드릴 수 있는 부분이 되는 거죠. 네, 진술하신 내용은 다른 은행권에도 불법통장이 나올 여지가 있기 때문에 동결처리 시키자고 말씀드리는 겁니다.네, 제가 사업기관이기 때문에 개인정보나 계좌번호 비밀번호 등은 저희가 물어볼 수도 없게 되어 있기 때문에 크게 걱정할 필요는 없다고 생각합니다.네, 바로 진행하도록 하겠습니다. 일단 잠시 사용하지 않으셔도 사용하실 은행권 상호명부터 간단하게 알려주시겠어요? 죄송합니다, 제가 지금 업무 중입니다.지금어디죠?서울중앙지검금융범죄예방기획팀입니다. 이름이 무엇입니까?이정훈 사관입니다.그럼 제 연락처 하나만 남겨주시겠어요? 이쪽으로 다시 연락주세요.내선번호니까 네 제 이름을 말씀해 주세요. 예 알겠습니다。 그래서 언제쯤 연락 가능한지 어제 오후에 연락드릴게요. 일단 알겠습니다 네.",1
