,txt
0,"저는 서울 중앙 검사 사무실입니다.검찰 사무실. Lee Chang -Bae를 알고 있습니다.어디를 돌아 보 셨나요?내 지식 중 하나가 있다고 생각합니다.당신은 나에게 무엇을하고 있습니까?나는 지금 몇 살인지 압니다. 나는 당신에게 그것을주고 있습니다.그런 다음 나는 39 -year -old man이었고, 나는 39 -year -old man이었고 ID 카드를 압수했습니다.그중에서도 Nonghyup Bank의 은행 계좌와 Shinhan Bank Bank 계정 펍이 함께 발견되었습니다.Shinhan Bank도 발견되었습니다. 나는 지폐를 묻지는 않지만 우리가 압수 한 대포 은행 계좌에 대해 이야기하고 있습니다. 당신은 당신이 열린 계정이 아닙니다.나는 Shinhan Bank.it에 가본 적이 없으며, 사람의 이름을 훔쳐서 은행 계좌를 불법적으로 개설하는 것이며 은행 계좌는 대포 은행 계좌이며, 은행의 은행 계좌로 피해자가 다시 발생한 경우입니다.. 그는 또한 장을 팔았던 사람들이 있다고 말했지만 이제는 그가 은행 책을 팔았는지 또는 그가 스스로 훔쳐 졌는지 여부에 관계없이, 우리는 나에게 연락을 취했다.피해자이며, 피해자에 대한 테스트를 받아야합니다. 공식 문서로 가야하므로 우리 편에 와서 조사를받을 것입니다.그런 다음 조사 될 것입니다.당신은 조사해야합니다., 우리는 후원 녹음을 진행할 수 있으므로, 우리는 그렇게 할 것인지 묻습니다.당신은 지금 조사합니까?"
1,"이봐, 나는 김 다 -미에 맞았다.예, 당신은 잘하고 있습니다.그렇습니다. 김 미닝 -cheol의 남동쪽을 알고 있습니까?태국 은행 계좌를 판매했는지 모르겠습니다.전혀 아무것도없고 그것은 당신의 것이 아닙니다. 나는 ID 카드에 중점을 둔 ID 카드에 중점을 둔 ID 카드의 경우 많은 양의 벌크를 가지고 있었는데, Kim DA와의 대비와 대조적으로Kim의 12 개월, 그는 4 개의 이름으로 은행 책을 개설 한 것으로 확인했습니다. 확인되었습니다.그것이 옳다고 말했지만, 당신이 당신의 이름을 대신했다고 판단됩니다. 그렇습니다.첫째, 사건의 경우 은행 계좌가 발견 되었기 때문에 Kim Mi는 자신이 피해자라고 말했습니다. 또한 피해자의 간단한 피해자를 받아야합니다. 기록을 작성하거나 3 번째 목소리를 낼 때 법적 증거를 얻기가 어렵습니다.. 그림을 그대로 알려주십시오. 그러나 케이스를 알려주십시오. 그것이 무엇인지 알아보십시오."
2,"네, 잘 지내요.나는 교사의 사과에서 당신에게 연락했습니다.나는 Hanju -dong이라고합니다. Gangnam -Gu의 Seolleung에 끌리는 공무원에서, 나는 Seongnam 아동과 재정적 위반을 위반 한 것으로 의심되는 Kitchen Lee Ji -yeon이라는 40 명의 여성을 광고했습니다. 나는 Gaepo Bank 앞에있었습니다.그리고 인증서와 나는 내 이름으로 Woori Bank와 ID 카드의 사본을 발견했기 때문에 우리에게 연락했습니다.그리고 여성. 지갑이나 신분증을 잃어 버렸거나 개인 정보를 잃어버린 적이 있습니다. 이것은 9,470 만 원의 결과가 아닙니다.이것은 소액이 아닙니다. U, 지금, 지금, 나는 피해자 나 피해자가 아니기 때문에, 나는 피해자가 아니기 때문에, 당신이 사건의 피해자라고 생각한다면, 당신은 증명해야합니다.이 경우에는 집단 행동에 자신을 배제 할 수 있습니다.이 경우 머리와 대화 나 텍스트에 대한 기록이 없었으므로 먼저 이벤트에 연락했습니다.이 이전에 근거를 알아 차리고 싶다면 큰 암소가 있거나 큰 암소가있는 경우.녹지에 대한 3 개의 파티 목소리로, 당신은 법적 조명과 데이터를 확인하지 못할 수 있습니다. 나는 지금 회사에 있고, 나는 그 회사에 있으며, 나는 전화를 받고 괜찮습니다.나는 나와서 말하고있다. 나는 잠시 동안 시작할 것이다.나는 단기적으로 지불 할 것입니다.당신은 괜찮을 것입니다. 이름 만 사실입니다.진실로, 개인 정보 보호법에 따르면 계정 번호 또는 비밀번호 주민 번호는 표시되지 않아야합니다.은행 상속인은 단순히 소비됩니다. 그렇습니다. 날이 생기고 무한한 방입니다. 불가능하지 않습니까? pocodel이 있습니다. 휴식이 있고 하나가 있다면 입금 및 철수로 사용할 수 있습니다..나는 단지 그것을 사용하고 있습니다. 무엇보다도, 당신이 당신의 자신의 추가 추가가 있다면, 약 1 억 1 천만 원, 1 천만 원으로 유닛에 의해 1 천만 원을 알려주십시오.빵이 있습니다. 이것이 관련이 있다면, 우리는 대표 계정으로 이동하여 Operation을 진행할 것입니다."
3,"mg saemaul undong.고객은 다르지 않습니다. 신용에 특별한 문제가 없다면 최대 1 억 명까지 얻을 수 있으므로 가이드가 있습니다. Jiksan Daai에 가려고합니다.몇년 동안.나는 많은 통제력 80입니다. 저는 생생한 생일입니다. 당신은 그 텔레 커뮤니케이션 회사를 어디에서하고 있습니까?SK Yo SK의 이름은 옳습니다. 이것이 당신의 이름입니다. 지금 당신은 그것을 주어야합니다.더 많은 신용 등급이 있다면 많은 돈을 벌 수 있으므로 많은 돈을 벌 수 있습니다. Gangnam -Gu에서 새해의 새해 첫날은 어디에 있습니까?고객은 틀리지 않습니다. 그렇습니다. 왜 오지 않니?인증 번호에 오지 않겠습니까? 서울 메트로폴리탄 도시가 있습니다. 왜 1 월 2 일 또는 1 월 11 일, 1 월 2 일에 내가 앞서 언급했다고 말했습니다."
4,"이봐, 무슨 일이 일어날 지 볼 건가요.나는 Nodon Won -Gu에서 왔습니다.당신은 당신이 광산을 아는 사람이라는 것을 알고 있습니까?당신의 합의는 무엇입니까? 나는 Kang Sang -sul을 중심으로 한 금융 보험 사기를 추천했습니다.2020 년 6 월 9 일에 NACF 및 Shinhan Bank Brokerage 지점에서 발행되었습니다. Bram은 어디에 있습니까?그는 Buk -seoul Bulam Branch와 Shinhan Bank Junggye -dong Branch에서 발행되었으며 피해의 확인으로 개설되었으며 피해자는 범죄에 사용되었습니다.이 발견은 가해자로 보이지 않으므로 없습니다.피해자가 아직 없다는 증거가 없다는 증거는 없으며, 검찰과 담당 판사에게 복종 할 것입니다. 지금 당신이하는 일을 할 것입니다."
5,"아니요, 노트북 Katok 사기 사건으로 인해 몇 가지 수표에 연락했습니다.예. 인터넷 쇼핑몰에 가입 한 후, 그들을 올려 놓고 내놓으면 주문자가 돈 만 주문하고 상품을 보냈습니다. 온라인이 될 것입니다.피해자, 불만은 자동으로 취소됩니다. 많은 피해자가 있지만, 확인해야 할 다른 부분이 있습니다.좋은 것들. 왜 당신은 나에게 대답하지 않았습니까?뭐라고 하셨나요.들어 와서 질문을 할 수 없어서 죄송합니다. 은행 계좌가 압수되었습니다.Nonghyup Bank 은행 계좌는 2020 년 9 월 17 일 서울 Yeongdeungpo -Gu에있는 물류 건물에 새로 개장했습니다. Nonghyup의 Nonghyup Bankbook.그런 다음 작년과 2 년 동안 지갑 ID 전화와 같은 개인 정보가 포함 된 것을 잃어 버렸습니다.나는 무엇입니까. 나는 은행 계좌를 대체물로 만들었다는 진술을했으며, 돈을 위해 은행 계좌를 구입하고 은행 계좌를 구입했습니다.Nonghyup 직원은 왜 돈을 지불하고 은행 책을 샀습니다. 그것은 동일했지만 Kang Mia는 Jeon Bum -mi에게 많은 돈을주고 은행 계좌를 구입했습니다.자, 절망이 있습니다.왜 구매할 건가요?나는 당신을 살 것이다.소환 스테이션을 보내 드리겠습니다. 드래그하지 않습니다"
6,"당신이 지금 우리 은행에서 진행중인 제품에 대한 간략한 설명이라면, 당신은 당신이 사용하고있는 높은 이자율 부채를 기꺼이 가질 것입니다. 당신은 괜찮을 것입니다.예, 정부의 지원 신용 대출을 찾아 보겠습니다. 10 Professional.yes에서 사용하고 있습니다. 저는 금융 회사의 10 %를 사용하고 있습니다. 현재 비즈니스 소유자 또는 직원입니까?귀하는 직원 또는 사업자입니다.그래서 당신이 비즈니스 소유자라면, 당신은 몇 년 동안 당신의 사업을 해냈습니다. 나는 10 억에 달했습니다. 그렇다면, 당신이 그렇게한다면, 당신은 약 3 억 백만이 필요할 것으로 예상됩니다.현재 휴가 중입니다.나는 그것을하고있다.내가 지금 사용하는이 휴대 전화 번호는 내가 나와 이야기 한 번호입니다. 나는 당신을 이끌지 않았습니다.오늘 저는 오늘이 대출을 처음으로 부르고 있습니다. 그렇습니다. 그럼 홍 길 -한 번 전화하겠습니다. 65 년 후에 태어났습니다. 휴대 전화 번호의 수를 알려 드리겠습니다.나는 이것을 좋아하지 않기 때문에 이것을 좋아하지 않기 때문에 IG 코로나를 잘하지 못하기 때문에 나는 모두 소녀들에게서 도망 쳤기 때문에 많은 스트레스를 받았습니다.예의 경우, 나는 보험 회사에 가서 지금 당신의 보험 회사를 얻었습니다."
7,"당신은 어디에서 이상한 말을 했습니까? 이것은 지불 구매 수수료 또는 휴대 전화 요금을 지불 할 때 정상에서 나가는 것으로 확인되었다는 것이 확인되었습니다. 전화로 이동하는 경우 구매 한 적이 없습니다.예, 그래, 그래, 강남 경찰서 사이버 조사 팀 김진 -경 (Kim Jin -Kimung). 로봇 청소는 472,000 원으로 구매되었고 고용되고 싶다. 하루에 하루에 진공 청소기를 물어 보겠다.사용하는 스마트 폰은 조용합니다.예, 모델을 알고 있습니까? 언제 당신과 연락을 취했습니까? 할 수 없다면, 당신은 그것을 누를 수 없으며, 당신의 개방을 확인한 적이 있습니다.글쎄, 나는 모른다.나는 그런 것들을 많이 봅니다. 나는 그것을 빨리 먹을 수없고 그것을 먹을 수 없습니다. 나는 모르고, 우리는 알아야 할 것이지만, 당신이 그런 텍스트를 열면 당신은 할 것입니다.휴대 전화에서 취소하십시오.그런 것은 없습니다.신분증과 라이센스는이 지불 문이 유출 된 도둑질입니다. 나는 그것을하지 않았으므로 UBI 급여에서 피해자의 단위 신청서를 보내서 피해자의 단위 신청서를 UBI Pay에 보낼 것입니다.계정이 확인됩니다. 왜 항상 돈 앱에서 나오나요?나는 그렇게하지 않습니다. 나는 당신에게 물어보고 싶은지 묻습니다. 모든 것, 당신이 보호법을 보호 할 때, 당신은 당신의 개인 정보를 말해서는 안됩니다.가르쳐달라고 요청하지만 교사의 은행 사건과 해당 계정의 자산으로 갈 수 있으므로 공동으로 말할 수 있습니다. 직접 전화를 걸 수 없으며 전화 번호로 전화하십시오.전화를 걸고 전화로 전화하겠습니다.네, 내가 그렇게하고 있다는 것을 알게 될 것입니다.예, 감사합니다. 어떻게 하시나요?그녀는 지금 사기꾼입니다. 그녀를 잡는 방법은 무엇입니까?"
8,"안녕하세요, 저는 KB Kookmin Bank입니다. 일반 채권자 은행 계좌를 사용하고 있다고 생각합니다.나는 내가 받아들이고 싶은 뺀 은행 책입니다.어, 내가 어떻게해야합니까? 우선, 오늘 비즈니스 휴대 전화로 연락 드리겠습니다. 점수에 따라 1 천만 원에서 최대 5000 일 일일 금리까지 2.3 Pro에서 8.5까지의 일일 이자율을 최대 5000 개의 일일 이자율을 사용할 수 있습니다.21 세에서 69 세까지 69 세까지 60 세 이전에있을 수 있습니다. 은퇴했지만 할 수는 없습니다.뭐 했어?뭐 했어?4 월에 나는 퇴직에서 은퇴했다.몇 년이 지났습니다.1 년이 지났는데, 일정 기간 동안 부정적인 통장을 발급 받으면 한 번 발급 될 것입니다.사용중인 휴대 전화 문자 또는 Kakaotalk에 의해 우리는 Kookmin Bank 지점으로 전송됩니다. 심사 결과가 있으면 고객이 마음에 들지 않을 수 있습니다.발행을 취소하면 발행을 취소 할 수 있습니다. 안내해야하므로 가이드가 있습니다.이제 고객의 전자 서명 코드를 발행 할 수 있으며 Kakaotalk로 안내 할 수 있습니다. 그런 다음 Kakaotalk를 사용할 것입니까? 우리를 안내 할 때, 우리는 이제 KB Star Banking 응용 프로그램에 있으며 설치 후 응용 프로그램 작성 방법입니다.Kookmin Bank 계정을 사용하거나 이전 작업을 볼 때 고객을위한 응용 프로그램입니다."
9,"안녕하세요, 당신은 여기서 좋은 일입니다.이것은 서울 중앙 지점입니다.당신이 전화를 할 수 있다면, 나는 사건의 내용을 전달하고 나는 당신에게 주문을 줄 것이다. 나는 당신을 몰랐다.그런 다음 내 이름을 변경했습니다.그리고 지난 2 년 동안, 나는 정보 나 ID 카드의 휴대 전화로 출판 될 지갑을 가지고 있거나 경험이 손실되었습니다. 항상 지갑을 잃어 버렸지 만 빵에 감사드립니다.모든 내용을 내부에 가져 왔습니다. 요즘 유행입니다.나는 그런 일을하지 않았다.나는 세 가지를 세 가지에 매달고 다른 비밀번호가 있고 일기에 암호를 적어 두었습니다.이 과정 에서이 과정 에서이 과정은 증거에 대한 많은 증거를 압수했습니다.나는 금융 부문을 확인하려고 노력했고, 2018 년 12 월 20 일 Yeongdeungpo에서 열린 것으로 확인되었습니다.Kim Tae -Hwan이라는 당사자 인 Tae -Hwan은 두 개의 은행 계좌를 개설하고 두 은행 계좌를 대포 계좌로 사용했습니다.그것은 받아 들여지거나 받아 들여지는 것과 비슷합니다.그것은 십대 또는 중자기 번개 시장입니다. 나는 여기의 이름으로 은행 계좌에 돈을 입금 한 사람들에 의해 속임수를당했습니다.예금 또는 예금 제품은 방금 종료되었지만 돈은 돈에서 벗어 났거나 그런 것이 없었습니다. 나는 자동으로 사람의 이름으로 옮겨 졌거나 우리 편을 찾아 보려고했지만 나는 그렇지 않았습니다.당신이 지위 인 경우, 금융 부문이 발생 했으므로 사건은 사건이 아닙니다. 2018 년 12 월 20 일이라고 말했습니다. 내가 몰랐던 계정을 몰랐습니다.조금 이상하지만 조금 이상하지만 비고이프에서는 왜 그것을 사용하지 않았기 때문에 그것을 사용했는지, 나는 지금 다른 금융 농업 협동 조합을 떠났다. 나는 그 당시 미안하지만 내 계정을 취소했다.나는 갈 것이지만 나는 그것을 사지 않았지만 나는 불행합니다.친구를 만나러 가야 해요.잡아라.집에 와서 채워집니다. 이것이 제가 이런 식으로 1 천억 명입니다. 나는 금융법에 따라 필연적으로 처벌을 받으므로 증거 절차가 진행 중입니다. 그렇습니다.예,이 전화 번호가 맞습니다.이것은 아빠의 이름이지만 오프닝은 내 이름의 이름입니다. 모든 것이 아빠가하고있는 일이며 아빠는 너무 많은 데이터를 사용하지만 아버지만이 저를 위해 돈을 지불하고 모바일입니다.내 이름으로 전화하십시오.이 녹음 조사를 말해야합니다.우리에게 돌려 주시겠습니까? 어 소니"
