0,label
"네, 조사를 받아야 합니다. 네, 알겠습니다. 계속 말씀드릴게요. 아까도 말씀드렸듯이 수사 과정이 기록이 될 것이고 녹취가 어떤 의미인지 아시잖아요 '노키블'이라고 하는 이유는 '서울중앙지검'이라고 부르겠다, 자꾸 말을 끊는다. 메모장이나 펜 있으면 얼굴에 남겨주시면 제가 불러드릴 테니 준비되시면 말씀해주세요. 네, 이제 말씀해주셔도 됩니다. 알겠습니다 서울중앙지검 첨단범죄수사부에 나오셨나요? 좋아요, 계속 얘기할 거예요 우선 다음 주에 재판이 있어요 당신은 판매 당일에 출석하지 않을 거예요 하지만 우리는 발람의 혈액 증거 크기만한 증거를 만들기 위해 복지를 할 거예요, 알겠죠? 그렇기 때문에 제3자음이나 심한 자음이 도입되면 이 녹음을 증거로 채택할 수 없기 때문에 주의해야 한다 피해자가 아니라 국가 정체성인 수사관이기 때문에 이 사건을 제3자에게 전파하거나 업무에 종사하는 것은 전혀 허용되지 않는다. 내가 지금까지 한 말을 이해합니까? 우선 지금 회사에 있는지 집에 있는지 물어보고 싶어요 네, 저는 회사에 있어요. 빨리 말해줄 수 있어요? 알겠습니다, 간단하게 말씀드리기 위해서 하는 말이니 빨리 넘어갈게요 우선 옆에 동료가 있을 수도 있으니 비상계단 같은 바위로 옮겨주세요. 이사할 때는 메모한 것을 가지고 가셔서 가지고 오시기 바랍니다. 시간이 좀 없으신가요? 다시 전화해 준다고 했잖아요 제가 얘기해 볼게요 그게 누구죠? 검사님. 아니 나는 너에게 다시 연락하지 않을 거야. 당신을 음반사로 전근시키겠습니다. 네, 그럼 끊기지 않습니다.",1
"서울중앙시간대 박관입니다, 네, 평소와 다를 게 없는데 검찰이 방금 불법 직함 사건을 접수하고 '네, 네'라고 연락을 드렸습니다. 대화 좀 나눌 수 있을까? 네, 그럼 제가 몇 가지 질문을 드릴게요. 그 사람을 아세요, 모르세요? 아니, 넌 전혀 몰라. 제가 이렇게 질문을 드리는 이유는 저희 검찰이 이번 금융검사를 봤기 때문인데 그 과정에서 신용카드와 대표적인 통장들을 대거 앞섰고 무엇보다 중요한 것은 SC탄 명의의 통장이 발견돼서 연락을 드렸는데 이 계좌 개설에 대해 아는 게 있나요? 아니, 네가 직접 열지 않았다는 거야? 네, 저희가 이 통장을 조사했을 때는 경기도 광명시 철선동 지점에서 개설일이 2018년 5월 17일이었고, 금융감독관과 함께 대기했을 때는 당신이었습니다. 나는 당신의 은행 계좌를 확인하고 당신에게 물어보는 것이다. 은행 계좌가 없다면, 지난 3년 동안 휴대폰이나 지갑 아이디를 잃어버리셨나요? 케인의 물건 다른 건 없나요? 네, 현재 입원 중인 사건이 궁금하실 텐데 정리해서 말씀드릴게요, 네이버에 개설된 홈페이지 아세요? 네, 세상 한 가운데 카페 형태의 사이트입니다. 네, 현 국민들이 세계 사이트 중간을 통해 고가의 물건을 팔기 위해 대량으로 글을 올리고 SC 표준계좌 명의로 입금을 유도했을 뿐인데, 아시겠어요? 네, 그 우편물은 어디에 있나요? 그럼 잃어버린 게 아니라 파는 거네요. 분명히 중고나라에 게시되어 있을 거예요. 네, 여러 개의 게시물입니다. 나는 그것을 확인할 것이다.",1
"안녕하세요? 네, 저는 강남에 있는 소셜 미디어 부서에 근무하고요. 어디요? 강남에서 쌀을 옮기고 있어요. 응 강남에 있는 사이버 지점을 사고 있어 응, 신고 확인해줘서 연락했는데 신고했잖아 어, 사이버 수사를 하라고 했잖아. 네, 알려주신 전화번호가 지금 표시됩니다. 사이버 지부 전화번호를 알려주실 수 있나요? 그래 사이버수사과라고 했잖아 그래 강남 사이버수사과에는 분명히 유선전화가 있어 네일팔로 전화하면 돼 그럼 일팔 주고 난 1828이야 일팔이가 세 자리 숫자인가요? 네, 맞습니다. 8시에 전화 주세요. 알았어, 알았어 전화할게",1
"네, 통화할 수 있을까요? 예, 어디 계신데요? 나는 대검찰청 앞에 있는 금융 범죄 부서에서 일하고 있다. 네, 통화 괜찮으세요? 네네. 네, 듣고 계신가요? 아니요, 저는 예남승에서 왔습니다. 당신은 그의 이름을 들어본 적이 있나요? 네, 방금 전화 받으신 분이 성함이 어떻게 되시나요? 네, 박철호 형사입니다, 네, 2010원에 지나지 않습니다, 지난 1월경 6개 금융범죄 사기단을 기준으로 금지 현장에서 통장과 체크카드를 대량으로 받았지만, 사건 현장에서 농협 통장과 법인 통장이 발견된 것을 확인하려고 연락드렸습니다. 은행에 공문을 요청해보니 필리핀 마닐라에서 불법 도박사이트 자금 중 7억200만원가량이 이미 빠져나간 것으로 나타났다. 당신은 은행 계좌에 대해 알고 있나요? 아니요, 앞서 말씀드렸듯이 2014년 12월 17일 영등포구 당산지점에서 이틀 만에 통장 2개가 개설됐는데 전혀 모르시잖아요, 시에 대해서는 전혀 모르시잖아요, 오늘 연락드린 이유는 이 통장 2개가 고객님에 의해 개설되어 품절된 것인지, 개인정보 피해자인지 확인하기 위해서입니다.이온 누출 네, 인증된 사본이 노출되었습니다. 당신은 당신의 은행 계좌를 팔거나 거래한 적이 있나요? 아니, 없어. 개인정보가 유출되면 말 그대로 2차, 3차 금전적 피해를 입을 수 있다. 네, 저희가 조직폭력배와 관련된 수사를 하게 되면 온라인 소환은 즉시 중단되고 강 씨가 직접 소환에 관여하게 됩니다만, 관련이 없는 피해자라면 이 부분에 대해서는 책임을 질 필요가 없지만 피해자인지 여쭤보겠습니다, 네, 전반적인 수사 과정은 만취 상태에서 진행이 되고요, 그러니 거짓된 말에 대답하지 말고 있는 그대로 말해주세요. 그런데 고양이는 어디에 있나요? 네 말투가 이상해.",1
"요즘 나는 신용카드 크기에 대한 개인정보가 많다. 피할 수 있는 경우가 있나요? 아니요. 제가 이걸 묻는 이유는 7월 9일에 불법 도박 금융사기의 일부였습니다. 네, 부산은 현장에 묻혔고, 이 통장에 불법 도박으로 8600만원이 들어와도 견딜 수 있습니다만, 이 계좌에 대해 아는 것이 있습니까? 네, 그렇다면 저는 70세 노인이고 전혀 아는 사람이 없어요 네, 강씨 성이 김효겸이었는데, 강씨는 통장으로 구입하신 분인데 직접 판매하실 건가요? 안 팔았어요. 아시다시피 금융거래 민원 통장을 공개할 거라면 본인이 직접 은행에 가면 통장이 발급되지 않나요? 네, 지금 가셔도 됩니다. 그냥 임의적인 경우가 아니라 본인의 입장에 직면할 수도 있지만, 불법 도박을 운영하면서 파통장이 필요한 경우이기 때문에 전국 유명인 통장 130개를 구입하신 분이 바로 본인입니다. 지금 통화를 해보면 돈 받고 판 사람들을 확인하고 연락한 사람들도 있는데 전부 팔아본 적이 없다는 얘기네 그래, 그래, 우리가 이 사건을 얘기하는 거야 이 사건은 구속된 사람에 따라 돈의 액수, 보험사, 카드사, 통신사 지원금에 의해 부채질되는 거야 너는 안 돼 복지 아이디나 개인정보가 있는 통장, 신용카드, 현금카드가 불법적으로 존재한다는 이유로 지금 영원을 배제한다 그리고 참고로 족보인 범률면에서 통종을 판 사람들은 3년 이내에 3천만 이하를 알아야 한다 그래서 지금 얘기하면 나는 아무것도 모르고 또 가진 것도 없다그것과 관련이 있다. 네, 당신은 문자를 해본 적이 있나요, 안 해본 적이 있나요? 오전 결제 건은 유류비에 대한 것이기 때문에 검찰 조사를 받아야 합니다. 당신은 언제 부산보증검찰청에 출석할 수 있습니까? 이제 가볼까요? 네, 지금 50시입니다. 네, 네, 몇 시까지 도착할 수 있나요? 오늘 밤에 여기 계셔야 할 것 같아요. 네, 5시 4분까지 오셔야 합니다. 제가 화면에서 뭘 해야 하나요? 피했는데 종이인지 모르겠습니다만 저희 검찰청에 와서 조사를 받으신다고 하셨고 전에 사건을 모르고 반에 아는 사람이 없다고 하셨는데 지금 부산은행 통장이 나온 것도 분명하고 불법적으로 통장이 깨졌다는 게 강성화 씨의 주장입니다.a 진시, 택배로 본인 명의의 통장을 받고 계좌이체가 궁금해서 검찰청 입장에서 출석을 안 한다고 했는데 서울에 있지 않습니까? 안지입니다. 당신은 서울에 없어요. 네, 그럼 4시까지 출발하시면 되는데, 어려운 점은 없으신가요? 살이 찐다는 게 무슨 말이야? 내가 당신 앞에 있어요, 그래요, 당신은 집에 살고 있지만, 당신은 단지 어려운가요, 아니면 시댁 식구가 몇 명인가요? 당신은 직장, 집, 직장에 있지만 다른 곳에서 일하고 있습니다. 월차를 내기가 힘들다는 거죠? 네, 무슨 말인지 알겠어요. 먼저 조사를 해보셔야 합니다. 사실 여부를 판단하기 위해 몇 가지 질문을 드리겠습니다. 본인이 직접 밝힐 질문이고, 그 질문은 수사 전반에 걸쳐 기록될 것이고, 수사 과정에서 강압수사나 유도, 허위사실이 있으면 다른 기관에서 다시 검토할 것입니다. 강성호 재판 증거로 1억원 자료가 사용될 예정이니 거짓말이나 숨기지 마세요. 바로 녹화하겠습니다 현재 부산고등법원 명탐정 양봉진 강성호 금융사건 수사과정입니다 형재 13758 당사자 이름은? 당신은 70대의 15시에 있는 그 남자를 아나요? 네, 2010원입니다. 6월 9일 부산 강소구 민기동 지점에 계좌 개설하셨나요? 아니요. 그럼 그날 오전 10시에서 오후 2시 사이에 어디에 있었나요? 언제요? 6월 9일이요. 서류 평일에 회사에 있다면 그날 동료들이 같이 일을 해서 맞춰줄 사람이 있을까요? 물론이야. 무슨 말인지 알겠어요 강의동 사건에서 현재 은행 계좌가 불법적으로 사용되었다는 것을 내가 말하기 전에 이미 알고 있었나요? 아니, 당신이 황금의 아내라는 거죠? 네, 법률 시장에서 영업을 하시면서 부산에서 영업을 하셨나요? 아니 카부직원에게 그런적도 없고 그래 부산연금거래도 없다고 얘기하는거야 참는것도 아니고 운영도 전혀 안한다는거야 그럼 우리 수사관 명의로 통장이 발급되면 개인정보 인출은 체험자의 불법계산으로 인정되는거야nce 기자들과 모든 사람들은 강주에서 동결될 것이다. 동의합니까?",1
"안녕하세요. 네, 안녕하세요. 네, 혹시 분실하신 적이나 미납하신 적이 있으신가요? 당신은 2000-14년에 발생한 신용카드 회사 유출 사건을 알고 있나요? 직접 확인하셨나요? 네, 따로 연락하지 않으셨습니다. 이렇게 연락을 드리면 통장을 팔았는지, 개인정보가 있는 대리점 피해자인지 확인하기 위해 연락을 드렸습니다. 은행 직원뿐만 아니라 네 통장을 통해서 피해를 본 사람들이 많이 있고 피해를 입은 사람들이 지금 고소를 하고 있는데 피해자인지 가해자인지는 아직 확인이 안 돼 있어 피해자인 경우 피해자 증명서를 발급받아야 해 네, 우선 지방에 있을 경우를 대비해서 아니면 당신이 검찰청에 출석할 수 없습니다, 우리는 당신에게 유선으로 연락했습니다. 네, 조사하는 방법은 두 가지가 있습니다. 첫 번째 방법은 기록하는 것이고, 두 번째 방법은 직접 검찰에 출석하는 것입니다. 처음에 뭐라고 하셨죠? 유선으로 진행해도 되고, 검찰청에 출두해도 되고, 어디 검찰청으로 가도 되고, 네, 서울검찰청으로 갑니다, 네, 알겠습니다. 내가 컨설턴트를 보낼 테니 날짜를 지켜 봐, 알았지? 네, 석기입니다. 안녕하세요 네, 누군가 차를 사용할 수 있습니다. 문서를 확인합니다. 아니요, 방금 이민호 형사님께 전화 드렸던 사람의 위치와 이름을 알려주세요. 이민호 형사네, 서울지검 네, 고문부터 확인하세요, 알겠습니다.",1
"도둑맞은 파티는 사실 렌즈입니다. 아뇨, 그런 건 전혀 없어요 음, 그럼 옥션 11번가 마우스 마켓과 같이 주로 사용하거나 구독하는 사이트들은, 음, 사용하지 않는 사이트들이 있는데, 구독은 어디에 있나요? 마우스 마켓도 있고 11번가도 있는데 잘 안 되고 있어요. 네, 저희가 적어드릴게요 그래서 질문을 드리는 것은 지역을 불문하고 저희 전국 180여 명에 이르는 광범위한 인원이기 때문에 그렇습니다만, 대부분의 수사관들이 이런 사이트나 개인정보 유출로 이름을 날린 적이 있습니다. 네, 앞으로의 사례에 대해 간단히 말씀드리겠습니다. 네, 당신은 중고 국가의 사이트를 알고 있나요? 네, 알고 있습니다. 폭력조직은 중고나라에 고가의 물건을 잔뜩 갖다 놓고, 이제는 하나은행 통장에 입금을 유도하기 위해 자금만 인출한다. 하지만 여기서 문제는 피해자들이 사기 계정으로 기소되었다는 것이다.",1
"실례합니다. 통화는 괜찮나요? 수업 중이에요. 무슨 일이야? 앞에 연료 케이스가 있어서 얘기 좀 해주실 수 있나 해서요. 네, 안녕하세요 네, 통화는 괜찮으신가요? 네, 40대 남성과 어떤 관계인지 모르겠습니다, 지난 금요일 저희 수사팀이 메인 요원 7명을 광고했기 때문입니다, 네, 이 광고 사이트에는 재당 앞에 통장 카드가 있고, 그 중에 국민은행과 농협은행 계좌가 포함되어 있어서 사실관계를 확인하려고 연락드렸습니다. 안녕하세요 네, 국민은행과 농협 계좌 개설에 대해 아시나요? 당신은 국민은행과 농협 계좌를 가지고 있나요? 이쪽입니다. 이쪽입니다. 안녕하세요 네, 간단하게 설명해드릴게요. 지금 6천만 원은 손이 안 닿아요. 네 통장을 판 사람도 있고 개인정보 때문에 고생하는 사람도 있어요 나는 아무것도 팔지 않았어요 지금은 조용히 통화할 수 없어요 아니요 안 팔았어요",1
"처참한 범죄팀의 김범준 형사입니다 네, 명동 사건에 대해 몇 가지 확인차 전화드렸습니다 네, 한 분 알고 계십니까? 아뇨, 이 사람은 42세의 남성입니다. 몰라요? 좋아요.",1
"무슨 일이지요? 네, 다름이 아니라 신분 도용 사건에 대해 몇 가지 확인차 전화 드렸습니다. 네, 계속 통화하셔도 됩니다. 먼저 금융범죄예방기획팀 이종훈 수사관인데요, 몇 가지 여쭤보고 싶은 게 있으니 협조 부탁드립니다. 여러분은 그곳에 살았던 42세의 김순철을 알고 있나요? 아니, 난 몰라 넌 몰라 지난 2년간 신분증과 휴대전화 등 개인정보, 유출 가능성이 있는 물품을 분실하지 않으셨습니다. 네, 2015년 1월 26일을 정점으로 일반인과의 은행 계좌를 분실한 적은 없습니다. 네, 저는 아직 연락을 못 드렸습니다만, 저희 수사팀에서 최근 김윤철 씨에 의한 금융범죄 사기 사건이 보고가 되어서 연락을 드렸습니다. 중요한 것은 보건 현장에서 가짜 계좌와 신용카드가 대량으로 발견되었고, 그 중에서도 농협과 국민은행 통장에서 발견되어 연락을 드렸습니다.s, 그것들은 그들의 이름으로 확인되었다. 네, 이 두 개의 계좌를 아예 개설하지 않으셨습니다. 일단 저희 입장에서는 김준철 씨가 일정한 대가를 받고 계좌를 양도하거나 매도한 가해자가 맞는지 연락을 해봤습니다. 네, 모르는 것이 있으면 본인이 무관한 피해자임을 입증할 수 있습니다. 네, 질문의 전반적인 수사 과정은.n은 이제 기록된 상태입니다. 네, 녹음된 자료는 이제 1심에서 중요한 증거가 됐습니다. 3자의 목소리나 소음소리가 들리면 증거를 확보하기 어려우니 참고해 주십시오, 네, 거짓말을 하거나 숨기는 것이 있으면 은제와 사법방해죄가 성립됩니다. 네, 진행하겠습니다. 고객님이신가요? 네, 거기에 살던 김준철 씨는 전 씨에 대해 모르세요? 네, 2015년 1월 26일 기준으로 국민은행에 계좌가 있으신가요? 최근 2년 동안 신분증, 휴대전화 등 유출될 수 있는 개인정보를 분실하지 않으셨습니다. 이 계정을 개설하지 않으셨더라도 이미 본인 명의로 악용된 계정이기 때문에 본인의 의사와 상관없이 동결하였습니다. 네, 더 이상 사용하실 수 없도록 정지 조치를 했습니다, 네, 불법 통장을 통해 거래가 이뤄졌기 때문에 피해자가 200명에서 250명 정도여서 연장으로 연락을 드렸습니다. 우리는 그들 모두에 참석할 수 없어서 편의상 그들에게 연장으로 연락했다. 저희가 좀 더 질문을 드리려고 하는데 이제 은행 이름을 간단하게 여쭤보려고 하는데 저희가 내부적으로 할 때 의심이 가는 분들이 계시기 때문에 저희가 왜 해명을 하고 진행을 하는지 아까 말씀드린 것처럼 본인의 내용이 금융감독원 조회기록의 어느 정도 가치가 있어야 부분이 될 수 있습니다. 우리가 피해자로서 당신을 도울 수 있는 곳 네, 다른 은행의 불법 은행 계좌에 대한 여지가 있기 때문에 말씀드리는 겁니다. 네, 제가 기업체이기 때문에 개인정보와 계좌번호, 비밀번호를 요구할 수 없기 때문에 걱정할 필요가 없습니다. 바로 진행해드리겠습니다. 우선 오랫동안 사용하지 않으셨더라도 사용하실 은행권의 이름을 알려주실 수 있나요? 실례합니다만, 저는 직장에 있는데 어디에 계신다고 하셨죠? 서울중앙지검 금융범죄예방기획팀 이름은? 이종훈 경관. 네, 전화번호 좀 남겨주시겠어요? 여기로 다시 전화해도 돼요. 내선 번호니까 제 이름을 말씀해주시면 됩니다. 좋아요, 그럼 이따 오후에 전화해서 언제 연락할 수 있는지 알아볼게요, 알았어요.",1
